Estabelecimento,Latitude,Longitude,Endereço
"ASI-SS (Assaí Sen. Saraiva)",-22.90403818062366,-47.0655877891341,"Av. Senador Saraiva,835 - Centro,Campinas - SP,13013-061"
"ATC-JB (Atacadão John Boyd)",-22.90822842727822,-47.092932681520594,"Av. Império do Sol Nascente, 52 - Jardim Aurelia, Campinas - SP, 13033-050"
"ATC_DP (Atacadão Dom Pedro)",-22.845250553080163,-47.090474119796795,"Rod. Dom Pedro I, KM 139 - 9 - Jardim Santa Genebra, Campinas - SP, 13080-395"
"BRSA-PCA (Baronesa Supermercado)",-22.917640949605268,-47.03614293590062,"R. Serra Dourada, 610 - Jardim Baroneza, Campinas - SP, 13100-310"
"CAE-JB (Superm. Caetano)",-22.910556226900443,-47.09494961939321,"Av. John Boyd Dunlop, 375 - Vila Aurocan, Campinas - SP, 13034-685"
"CRF-DPE (Carrefour D. Pedro)",-22.853075095432867,-47.02745437278461,"Rod. Dom Pedro I - Jardim Santana, Campinas - SP, 13092-599"
"CRF-LAG (Carrefour LAGO)",-22.93249012916208,-47.079459322851456,"R. Jacy Teixeira de Camargo, 940 - Ne - Luc 200 - Jardim do Lago, Campinas - SP, 13050-914"
"CRF-NS (Carrefour Norte Sul)",-22.895138190932954,-47.04665522771262,"690, s/n - Av. José de Sousa Campos, q.690 - Cambuí, Campinas - SP, 13092-123"
"CVB-IMP (Covabra Imperatriz)",-22.880697866415844,-47.069214048129616,"Av. Imperatriz Leopoldina, 290 - Vila Nova, Campinas - SP, 13073-035"
"CVB-JB (Covabra John Boyd)",-22.918973173343932,-47.11000046289169,"R. José Rosolém, 521 - Jardim Londres, Campinas - SP, 13060-222"
"DIA-BAR (Dia Barão)",-22.823068504094316, -47.07825003682004,"Av. Professor Atílio Martini, 241 - Jardim Novo Barão Geraldo, Campinas - SP, 13083-830"
"DLB-MON (Dalben Monçoes)",-22.850459353799106, -47.05390934862249,"R. Adelino Martins, 433 - Mansões Santo Antônio, Campinas - SP, 13087-510"
"DLB-TAQ (Dalben-TAQ)",-22.878508966209814,-47.044237855071195,"Av. Nossa Sra. de Fátima, 1270 - Taquaral, Campinas - SP, 13076-000"
"ENX-JB (Enxuto John Boyd)",-22.90869194179444,-47.0956115194621,"Av. John Boyd Dunlop, 440 - Jardim Aurelia, Campinas - SP, 13034-685"
"GDB-AG (GoodBom Almeida Garret)",-22.86502985698178,-47.05425370382825,"Av. Almeida Garret, 1881 - Parque Taquaral, Campinas - SP, 13087-291"
"GLSI-LIX (Galassi LIX)",-22.897033187104064,-47.097156880267285,"R. Antônio Vilela Júnior, 33 - Jardim Bandeirantes, Campinas - SP, 13033-580"
"PAO-ITA (Pão de Açúcar Br de Itapura)",-22.886046327719452,-47.05957151279987,"Av. Barão de Itapura, 2233 - Jardim Guanabara, Campinas - SP, 17043-070"
"PAO-PCA (Pão de Açúcar Proença)",-22.91075502454361,-47.04521135972588,"Av. Princesa D'Oeste, 1467 - Jardim Primavera, Campinas - SP, 13026-040"
"PRCE-PCA (Mercado Princesa - Proença)",-22.912541480585514,-47.04406692924408,"Av. Dr. Arlindo Joaquim de Lemos, 1421 - Vila Lemos, Campinas - SP, 13100-450"
"RDAO-LAG (ROLDÃO)",-22.925042937272053,-47.08298764278428,"Rua Padre José Quadros, 244 - Parque Industrial, Campinas - SP, 13031-449"
"SPM-TAQ (SuperMercado Taquaral)",-22.88113725913633,-47.050196017801646,"Av. Nossa Sra. de Fátima, 586/608 - Taquaral, Campinas - SP, 13076-008"
"SSC-JB (Supermerc. Santa Catarina)",-22.908655538367423, -47.08682506591064,"R. José Maria Lisboa, 33 - Vila Teixeira, Campinas - SP, 13032-480"
"SVG-BFG (Savegnago Botafogo)",-22.897403162980076,-47.07057860871792,"R. Mário Siqueira, 221 - Botafogo, Campinas - SP, 13020-210"
"SVG-ORO (Savegnago_Orozimbo)",-22.88993859916899,-47.05850436044858,"Av. Orosimbo Maia, 1309 - Vila Itapura, Campinas - SP, 13023-002"
"TDA-DPE (Tenda Dom Pedro)",-22.846786080576,-47.10002617572391,"Rod. D. Pedro I, km 140,5 Ceasa - Jardim Santa Monica, Campinas - SP, 13080-395"
"TDA-LAG (Tenda Jardim do Lago)",-22.926348640520946,-47.081029144215265,"Rua Padre Bernardo da Silva, 1111 - São Bernardo, Campinas - SP, 13030-710"
"VLAM-LIX (Vila Mais Supermercados)",-22.907687926252507, -47.07970716518869,"R. Dr. Sales de Oliveira, 2055 - Loja 1 - Vila Industrial (Campinas), Campinas - SP, 13035-500"
"VTRA-JB (Vitória Max Supermercados)",-22.912425506388644,-47.105157817986886,"R. Francisco Xavier de Andrade Nogueira, 234 - Jardim Garcia, Campinas - SP, 13061-070"
